race_year                                  2018        2019        2020        2021        2022        2023        2024        2025
dirty_air_thermal_load_bulk          0.4548  0.3609  0.3138  0.3658  0.2883  0.3038  0.3107  0.3089
share_lap_within_1s                  0.6330  0.5775  0.5833  0.6156  0.5347  0.5312  0.5552  0.5164
share_lap_within_2s                  0.4895  0.4244  0.3840  0.4183  0.3822  0.3771  0.3919  0.3592
share_lap_in_train                   0.8698  0.8423  0.8294  0.8701  0.8008  0.7843  0.8192  0.7717
share_lap_behind_within_1s           0.6273  0.5757  0.5868  0.6112  0.5399  0.5334  0.5515  0.5129
time_within_1s                       0.6330  0.5775  0.5833  0.6156  0.5347  0.5312  0.5552  0.5164
gap_ahead_min_s                      0.1030  0.1154  0.0886  0.0866  0.1537  0.1535  0.1318  0.1607
gap_ahead_median_s                   0.0001  0.0002  0.0001  0.0000  0.0002  0.0003  0.0001  0.0005
ahead_identity_stability             0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
n_distinct_cars_ahead_3s             0.2885  0.3101  0.3002  0.3240  0.2891  0.2869  0.2940  0.2723
quali_push_laps_n                    0.0799  0.0202  0.0040  0.0163  0.0082  0.0075  0.0073  0.0083
quali_constructor_pace_mean_s        0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
quali_constructor_pace_se_mean_s     0.0227  0.0041  0.0000  0.0031  0.0039  0.0000  0.0017  0.0040
quali_pace_delta_best_s              0.0277  0.0055  0.0052  0.0115  0.0023  0.0021  0.0080  0.0052
quali_ratio_to_segment_best_min      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
quali_skill_session_avg_s            0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
quali_segments_contested_n           0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
