race_year,circuit_key,hard_code,medium_code,soft_code,source_url
2021,united_states_grand_prix,C2,C3,C4,https://press.pirelli.com/2021-united-states-grand-prix---preview/
2021,mexico_city_grand_prix,C2,C3,C4,https://press.pirelli.com/2021-mexico-city-grand-prix---preview/
2021,são_paulo_grand_prix,C2,C3,C4,https://press.pirelli.com/2021-sao-paulo-grand-prix---preview/
2021,qatar_grand_prix,C1,C2,C3,https://press.pirelli.com/2021-qatar-grand-prix---preview/
2021,saudi_arabian_grand_prix,C2,C3,C4,https://press.pirelli.com/2021-saudi-arabian-grand-prix---preview/
2021,abu_dhabi_grand_prix,C3,C4,C5,https://press.pirelli.com/2021-abu-dhabi-grand-prix---preview/
2022,bahrain_grand_prix,C1,C2,C3,https://press.pirelli.com/2022-bahrain-grand-prix---preview/
2022,saudi_arabian_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-saudi-arabian-grand-prix---preview/
2022,australian_grand_prix,C2,C3,C5,https://press.pirelli.com/2022-australian-grand-prix---preview/
2022,emilia_romagna_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-italian-grand-prix---preview/
2022,miami_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-miami-grand-prix---preview/
2022,spanish_grand_prix,C1,C2,C3,https://press.pirelli.com/2022-spanish-grand-prix---preview/
2022,monaco_grand_prix,C3,C4,C5,https://press.pirelli.com/2022-monaco-grand-prix---preview/
2022,azerbaijan_grand_prix,C3,C4,C5,https://press.pirelli.com/2022-azerbaijan-grand-prix---preview/
2022,canadian_grand_prix,C3,C4,C5,https://press.pirelli.com/2022-canadian-grand-prix---preview/
2022,british_grand_prix,C1,C2,C3,https://press.pirelli.com/2022-british-grand-prix---preview/
2022,austrian_grand_prix,C3,C4,C5,https://press.pirelli.com/2022-austrian-grand-prix---preview/
2022,french_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-french-grand-prix---preview/
2022,hungarian_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-hungarian-grand-prix---preview/
2022,belgian_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-belgian-grand-prix---preview/
2022,dutch_grand_prix,C1,C2,C3,https://press.pirelli.com/2022-dutch-grand-prix---preview/
2022,italian_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-monza-grand-prix---preview/
2022,singapore_grand_prix,C3,C4,C5,https://press.pirelli.com/2022-singapore-grand-prix---preview/
2022,japanese_grand_prix,C1,C2,C3,https://press.pirelli.com/2022-japanese-grand-prix---preview/
2022,united_states_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-united-states-grand-prix---preview/
2022,mexico_city_grand_prix,C2,C3,C4,https://press.pirelli.com/2022-mexico-grand-prix---preview/
