race_year,race_id,ego_driver_id,teammate_driver_id,n_laps,gap_slope_s_per_age,gap_level_s,quality
2024,2024_22,RUS,HAM,21,0.02586162652980687,0.716019047619049,0.5931246559187525
2024,2024_5,NOR,PIA,39,0.11390707684824908,2.23902564102564,0.6662099762013581
2024,2024_5,RUS,HAM,40,-0.08698381460613287,-0.22573749999999998,0.7031754420164517
2024,2024_5,VER,PER,42,-0.008851758486186715,0.6766666666666671,0.8043412673803719
2024,2024_7,LEC,SAI,57,0.03848993165935215,0.4949368421052631,0.7721230843303927
2018,2018_17,PER,OCO,42,-0.010981406870341008,0.10940000000000015,0.6798456204369021
2018,2018_2,RAI,VET,26,-0.02778218752259072,-0.00963846153846121,0.7840935375640126
2018,2018_3,BOT,HAM,21,0.0016382578455879176,0.26790000000000075,0.5323615460999969
2018,2018_5,RIC,VER,54,0.0033612935298400724,-0.1885703703703701,0.6537049705362358
2018,2018_7,VET,RAI,27,-0.05476617826617804,0.5132962962962987,0.7359963605284584
2018,2018_9,HAR,GAS,12,-0.04262237762237762,-0.2036666666666657,0.6782931641112545
2019,2019_3,NOR,SAI,26,-0.07607762473217025,-0.5897384615384618,0.6322770463920983
2020,2020_17,MAG,FIT,22,0.4319902168825092,1.2536772727272734,0.49871028697050035
2020,2020_2,BOT,HAM,23,0.0369397233201579,-0.28995652173912967,0.7710609869900718
2020,2020_5,VER,ALB,23,-0.17228744242752694,-0.4184086956521778,0.6056185955175374
2020,2020_9,LEC,VET,24,0.09767406809746647,1.6933916666666669,0.5954111772914993
2021,2021_15,SAI,LEC,12,-0.20861188811188852,0.4470833333333353,0.49752595223319657
2021,2021_2,BOT,HAM,22,0.2745454818673613,-3.5004545454545433,0.5171186044917838
2021,2021_7,BOT,HAM,48,0.0684905900305187,0.639008333333333,0.6611529128854982
2022,2022_11,MSC,MAG,52,-0.022692633122961423,-0.5382423076923081,0.6989157491902594
2022,2022_15,STR,VET,25,-0.3994070129870129,-1.1549759999999991,0.5086071317547127
2022,2022_17,SAI,LEC,41,0.02500922034564016,-0.725731707317073,0.6981401814058659
2022,2022_7,VER,PER,50,0.014597098343699703,0.1148599999999999,0.6723955049464956
2022,2022_9,TSU,GAS,25,-0.005089033112582705,-0.1965440000000001,0.7429493004626356
2023,2023_18,SAR,ALB,37,-0.2590173041444287,-1.245602702702702,0.6662102254119113
2023,2023_4,ALB,SAR,43,0.015197825430383604,0.5861395348837207,0.7282281842504481
2024,2024_11,TSU,RIC,8,-0.0010833333333329245,-0.15362500000000345,0.8518345021654581
2024,2024_15,GAS,OCO,65,-0.03548247541580666,0.19394153846153825,0.5822531963196277
2024,2024_16,GAS,OCO,28,0.06007264437689971,0.22962142857142961,0.5731992872316063
2024,2024_18,MAG,HUL,44,0.08398947930574095,-0.2735999999999983,0.6198896626025792
2018,2018_10,RIC,VER,30,0.1600381355932202,0.6017333333333321,0.7677058697807417
2018,2018_10,SAI,HUL,25,0.03289095744680866,-0.02399999999999977,0.6282122988431764
2018,2018_19,RIC,VER,39,0.010452428632296527,-0.5747692307692299,0.666438727837323
2018,2018_2,OCO,PER,24,0.14294857142857162,1.0431333333333341,0.4656719437661159
2018,2018_8,RIC,VER,40,0.030706482481442227,-0.6542574999999996,0.7250292687890308
2019,2019_10,HAM,BOT,35,-0.14585163321526914,-1.5495714285714273,0.6621751015724854
2019,2019_10,VET,LEC,25,-0.20426464134025552,-0.17588799999999993,0.712457743226784
2019,2019_16,VET,LEC,18,-0.009344685242518306,0.18572222222222162,0.852521257736552
2019,2019_17,LEC,VET,12,-0.324821407624634,-2.9601833333333354,0.62676967630964
2019,2019_2,LEC,VET,45,0.07002471564087558,0.675577777777778,0.6679532419721028
2019,2019_3,BOT,HAM,49,-0.03465874174390851,-0.45811428571428475,0.7046510458406621
2020,2020_14,LEC,VET,44,0.12148122231774612,0.819249999999998,0.5013149166947835
2020,2020_16,RIC,OCO,22,-0.2837363636363635,-1.6009681818181827,0.6959071648695064
