driver_id,season_n,predicted_residual_s,actual_residual_s,nr_n,nr_n1,constructor_n,constructor_n1,switched,error_s
GAS,2018,-1.0560548778959944,-0.6153039988227682,16,21,Toro Rosso,Red Bull Racing,True,-0.4407508790732262
MSC,2021,-1.911206091801899,-0.989039904642231,17,19,Haas F1 Team,Haas F1 Team,False,-0.9221661871596679
LEC,2022,-0.8673190498459249,-1.1635746009310752,18,19,Ferrari,Ferrari,False,0.29625555108515034
GAS,2023,-1.2416337847714833,-1.1035189120722513,21,20,Alpine,Alpine,False,-0.13811487269923206
RUS,2023,-0.7390769940326621,-0.8493285586535373,21,23,Mercedes,Mercedes,False,0.11025156462087515
STR,2019,-0.8432606856927599,-0.7315469732501829,20,13,Racing Point,Racing Point,False,-0.111713712442577
PIA,2023,-0.46286454644036107,-0.6735157841869713,20,24,McLaren,McLaren,False,0.21065123774661026
VER,2022,-1.024154671503081,-1.2169515406804587,22,21,Red Bull Racing,Red Bull Racing,False,0.19279686917737782
KVY,2019,-1.1421238706542836,-0.6027428907009444,21,16,Toro Rosso,AlphaTauri,True,-0.5393809799533391
PER,2021,-0.5847432382823317,-0.3640306785762546,19,22,Red Bull Racing,Red Bull Racing,False,-0.22071255970607706
LEC,2019,-0.7840694060668082,-1.2325483689467243,21,15,Ferrari,Ferrari,False,0.44847896287991607
ZHO,2022,-0.7941491229777968,-0.9478418710443973,20,21,Alfa Romeo,Alfa Romeo,False,0.1536927480666005
LAT,2021,-1.101910581098136,-0.422425126339324,20,20,Williams,Williams,False,-0.6794854547588121
NOR,2021,-1.31198627868629,-1.2566229460190426,20,21,McLaren,McLaren,False,-0.055363332667247356
DEV,2022,-0.814355204867797,-0.682021676525055,1,10,Williams,AlphaTauri,True,-0.13233352834274204
RAI,2018,-0.3018348060171941,-1.3022276084920856,19,21,Ferrari,Alfa Romeo Racing,True,1.0003928024748916
BOT,2020,-0.5077819499930022,-0.428909784778904,17,20,Mercedes,Mercedes,False,-0.07887216521409818
SAI,2018,-0.8828805454331736,-1.0151081465168965,17,20,Renault,McLaren,True,0.1322276010837229
RIC,2021,-0.6377755424861955,-0.6699784454217746,20,21,McLaren,McLaren,False,0.03220290293557915
VET,2021,-1.0528316110557723,-0.9269594003903835,20,20,Aston Martin,Aston Martin,False,-0.12587221066538878
TSU,2023,-1.1086394342009713,-0.8895377636660546,20,22,AlphaTauri,RB,True,-0.2191016705349167
SAI,2023,-0.7785930862883056,-0.7118766355914782,19,23,Ferrari,Ferrari,False,-0.06671645069682741
HAM,2019,-0.9969294774876889,-0.8798051619988231,21,16,Mercedes,Mercedes,False,-0.11712431548886582
HAM,2022,-0.8554682468618366,-1.129437422489537,20,21,Mercedes,Mercedes,False,0.2739691756277003
