scheme,circuit_key,n,races,coverage,below_lo,above_hi,mean_width
raw,abu_dhabi_grand_prix,1108,2,0.8646209386281588,0.08483754512635379,0.05054151624548736,6.337522029876709
raw,australian_grand_prix,925,2,0.7416216216216216,0.18162162162162163,0.07675675675675675,5.770235538482666
raw,austrian_grand_prix,1306,2,0.8185298621745789,0.08575803981623277,0.09571209800918837,6.33461856842041
raw,azerbaijan_grand_prix,1176,2,0.7797619047619048,0.15476190476190477,0.06547619047619048,6.260468482971191
raw,bahrain_grand_prix,922,2,0.8622559652928417,0.07809110629067245,0.0596529284164859,6.705346584320068
raw,belgian_grand_prix,657,2,0.8858447488584474,0.0624048706240487,0.0517503805175038,11.86283016204834
raw,british_grand_prix,842,2,0.6591448931116389,0.21971496437054633,0.12114014251781473,7.966150760650635
raw,canadian_grand_prix,1210,2,0.8859504132231405,0.08760330578512397,0.026446280991735537,9.5089750289917
raw,chinese_grand_prix,386,1,0.9481865284974094,0.018134715025906734,0.03367875647668394,8.76957893371582
raw,dutch_grand_prix,1467,2,0.7914110429447853,0.08588957055214724,0.12269938650306748,8.044212341308594
raw,emilia_romagna_grand_prix,788,1,0.8274111675126904,0.0583756345177665,0.11421319796954314,6.543956279754639
raw,hungarian_grand_prix,1563,2,0.8438899552143314,0.07293666026871401,0.08317338451695458,7.098961353302002
raw,italian_grand_prix,1079,2,0.8748841519925857,0.060240963855421686,0.06487488415199258,6.539677619934082
raw,japanese_grand_prix,733,2,0.849931787175989,0.1077762619372442,0.04229195088676671,9.74911117553711
raw,las_vegas_grand_prix,798,2,0.7731829573934837,0.09899749373433583,0.12781954887218044,8.163780212402344
raw,mexico_city_grand_prix,1544,2,0.8588082901554405,0.05699481865284974,0.08419689119170984,7.024594783782959
raw,miami_grand_prix,1282,2,0.7776911076443058,0.10062402496099844,0.12168486739469579,5.530547142028809
raw,monaco_grand_prix,1960,2,0.6806122448979591,0.2372448979591837,0.08214285714285714,10.55004596710205
raw,qatar_grand_prix,786,2,0.8180661577608143,0.11577608142493638,0.06615776081424936,6.159642696380615
raw,saudi_arabian_grand_prix,1013,2,0.7601184600197434,0.16288252714708787,0.0769990128331688,6.862001419067383
raw,singapore_grand_prix,1346,2,0.799405646359584,0.10549777117384844,0.0950965824665676,6.819767475128174
raw,spanish_grand_prix,1456,2,0.8564560439560439,0.08035714285714286,0.06318681318681318,8.131290435791016
raw,são_paulo_grand_prix,903,2,0.831672203765227,0.12292358803986711,0.04540420819490587,8.427087783813477
raw,united_states_grand_prix,974,2,0.8305954825462012,0.11088295687885011,0.058521560574948665,5.62619161605835
pooled_sym,abu_dhabi_grand_prix,1108,2,0.8871841155234657,0.07129963898916968,0.04151624548736462,6.787792205810547
pooled_sym,australian_grand_prix,925,2,0.772972972972973,0.16,0.06702702702702702,6.220505714416504
pooled_sym,austrian_grand_prix,1306,2,0.8522205206738132,0.06967840735068913,0.0781010719754977,6.784888744354248
pooled_sym,azerbaijan_grand_prix,1176,2,0.814625850340136,0.1326530612244898,0.05272108843537415,6.710738658905029
pooled_sym,bahrain_grand_prix,922,2,0.8796095444685467,0.07049891540130152,0.049891540130151846,7.155616760253906
pooled_sym,belgian_grand_prix,657,2,0.9025875190258752,0.0532724505327245,0.0441400304414003,12.31309986114502
pooled_sym,british_grand_prix,842,2,0.6888361045130641,0.20190023752969122,0.10926365795724466,8.416420936584473
pooled_sym,canadian_grand_prix,1210,2,0.9082644628099174,0.06859504132231405,0.023140495867768594,9.959244728088379
pooled_sym,chinese_grand_prix,386,1,0.9585492227979274,0.015544041450777202,0.025906735751295335,9.2198486328125
pooled_sym,dutch_grand_prix,1467,2,0.8234492160872529,0.06680299931833675,0.10974778459441036,8.494482040405273
pooled_sym,emilia_romagna_grand_prix,788,1,0.8477157360406091,0.04949238578680203,0.10279187817258884,6.994226932525635
pooled_sym,hungarian_grand_prix,1563,2,0.8733205374280231,0.05566218809980806,0.0710172744721689,7.54923152923584
pooled_sym,italian_grand_prix,1079,2,0.8962001853568119,0.051899907321594066,0.051899907321594066,6.989947319030762
pooled_sym,japanese_grand_prix,733,2,0.8635743519781719,0.09822646657571624,0.03819918144611187,10.199380874633789
pooled_sym,las_vegas_grand_prix,798,2,0.8070175438596491,0.08771929824561403,0.10526315789473684,8.614049911499023
pooled_sym,mexico_city_grand_prix,1544,2,0.8866580310880829,0.04533678756476684,0.06800518134715026,7.474864959716797
pooled_sym,miami_grand_prix,1282,2,0.8198127925117005,0.07956318252730109,0.10062402496099844,5.98081636428833
pooled_sym,monaco_grand_prix,1960,2,0.7025510204081633,0.22040816326530613,0.0770408163265306,11.00031566619873
pooled_sym,qatar_grand_prix,786,2,0.8473282442748091,0.09796437659033079,0.054707379134860054,6.609912395477295
pooled_sym,saudi_arabian_grand_prix,1013,2,0.7808489634748272,0.14708785784797632,0.07206317867719644,7.312271595001221
pooled_sym,singapore_grand_prix,1346,2,0.825408618127786,0.09063893016344725,0.08395245170876671,7.270037651062012
pooled_sym,spanish_grand_prix,1456,2,0.8743131868131868,0.07074175824175824,0.054945054945054944,8.581561088562012
pooled_sym,são_paulo_grand_prix,903,2,0.8527131782945736,0.10963455149501661,0.03765227021040975,8.877357482910156
pooled_sym,united_states_grand_prix,974,2,0.8613963039014374,0.08932238193018481,0.049281314168377825,6.0764617919921875
pooled_asym,abu_dhabi_grand_prix,1108,2,0.8898916967509025,0.06588447653429604,0.04422382671480144,6.792418479919434
pooled_asym,australian_grand_prix,925,2,0.7783783783783784,0.1545945945945946,0.06702702702702702,6.225131511688232
pooled_asym,austrian_grand_prix,1306,2,0.8499234303215927,0.06891271056661562,0.08116385911179173,6.789514064788818
pooled_asym,azerbaijan_grand_prix,1176,2,0.8197278911564626,0.125,0.055272108843537414,6.715364456176758
pooled_asym,bahrain_grand_prix,922,2,0.8796095444685467,0.06724511930585683,0.05314533622559653,7.160242557525635
pooled_asym,belgian_grand_prix,657,2,0.9025875190258752,0.0502283105022831,0.0471841704718417,12.317726135253906
